frame,d_main_px,z_mm,z_m,alarm
115,50,1046.2,1.0462,0
116,50,1046.2,1.0462,0
117,51,1025.7,1.0257,0
118,52,1006.0,1.006,0
119,53,987.0,0.987,0
120,54,968.7,0.9687,0
121,55,951.1,0.9511,0
122,55,951.1,0.9511,0
123,56,934.1,0.9341,0
124,57,917.7,0.9177,0
125,58,901.9,0.9019,0
126,59,886.6,0.8866,0
127,60,871.8,0.8718,0
128,62,843.7,0.8437,0
129,63,830.3,0.8303,0
130,64,817.4,0.8174,0
131,65,804.8,0.8048,0
132,66,792.6,0.7926,1
133,67,780.8,0.7808,1
134,68,769.3,0.7693,1
135,69,758.1,0.7581,1
136,71,736.8,0.7368,1
137,72,726.5,0.7265,1
138,73,716.6,0.7166,1
139,74,706.9,0.7069,1
140,74,706.9,0.7069,1
141,75,697.5,0.6975,1
142,75,697.5,0.6975,1
143,74,706.9,0.7069,1
144,74,706.9,0.7069,1
145,73,716.6,0.7166,1
146,72,726.5,0.7265,1
147,71,736.8,0.7368,1
148,69,758.1,0.7581,1
149,68,769.3,0.7693,1
150,67,780.8,0.7808,1
151,66,792.6,0.7926,1
152,65,804.8,0.8048,0
153,63,830.3,0.8303,0
154,62,843.7,0.8437,0
155,61,857.6,0.8576,0
156,60,871.8,0.8718,0
157,59,886.6,0.8866,0
158,58,901.9,0.9019,0
159,57,917.7,0.9177,0
160,56,934.1,0.9341,0
161,55,951.1,0.9511,0
162,55,951.1,0.9511,0
163,54,968.7,0.9687,0
164,53,987.0,0.987,0
165,53,987.0,0.987,0
166,52,1006.0,1.006,0
167,51,1025.7,1.0257,0
168,51,1025.7,1.0257,0
169,51,1025.7,1.0257,0
170,50,1046.2,1.0462,0
171,50,1046.2,1.0462,0
172,49,1067.6,1.0676,0
173,49,1067.6,1.0676,0
174,49,1067.6,1.0676,0
175,48,1089.8,1.0898,0
176,48,1089.8,1.0898,0
177,47,1113.0,1.113,0
178,47,1113.0,1.113,0
179,46,1137.2,1.1372,0
180,46,1137.2,1.1372,0
181,45,1162.5,1.1625,0
182,44,1188.9,1.1889,0
183,44,1188.9,1.1889,0
184,43,1216.5,1.2165,0
185,43,1216.5,1.2165,0
186,42,1245.5,1.2455,0
187,41,1275.9,1.2759,0
188,41,1275.9,1.2759,0
189,40,1307.8,1.3078,0
190,40,1307.8,1.3078,0
191,39,1341.3,1.3413,0
192,39,1341.3,1.3413,0
193,38,1376.6,1.3766,0
194,38,1376.6,1.3766,0
195,37,1413.8,1.4138,0
196,37,1413.8,1.4138,0
197,37,1413.8,1.4138,0
198,36,1453.1,1.4531,0
199,36,1453.1,1.4531,0
200,35,1494.6,1.4946,0
201,35,1494.6,1.4946,0
202,35,1494.6,1.4946,0
203,34,1538.5,1.5385,0
204,34,1538.5,1.5385,0
205,33,1585.2,1.5852,0
206,33,1585.2,1.5852,0
207,29,1803.8,1.8038,0
208,32,1634.7,1.6347,0
209,32,1634.7,1.6347,0
210,31,1687.4,1.6874,0
211,31,1687.4,1.6874,0
212,28,1868.2,1.8682,0
213,30,1743.7,1.7437,0
214,30,1743.7,1.7437,0
215,27,1937.4,1.9374,0
216,29,1803.8,1.8038,0
217,29,1803.8,1.8038,0
218,29,1803.8,1.8038,0
219,26,2011.9,2.0119,0
220,26,2011.9,2.0119,0
221,26,2011.9,2.0119,0
222,26,2011.9,2.0119,0
223,26,2011.9,2.0119,0
224,26,2011.9,2.0119,0
225,28,1868.2,1.8682,0
226,28,1868.2,1.8682,0
227,28,1868.2,1.8682,0
228,28,1868.2,1.8682,0
229,28,1868.2,1.8682,0
230,28,1868.2,1.8682,0
231,26,2011.9,2.0119,0
232,26,2011.9,2.0119,0
233,26,2011.9,2.0119,0
234,29,1803.8,1.8038,0
235,29,1803.8,1.8038,0
236,27,1937.4,1.9374,0
237,27,1937.4,1.9374,0
238,30,1743.7,1.7437,0
239,30,1743.7,1.7437,0
240,30,1743.7,1.7437,0
241,27,1937.4,1.9374,0
242,31,1687.4,1.6874,0
243,31,1687.4,1.6874,0
244,28,1868.2,1.8682,0
245,32,1634.7,1.6347,0
246,32,1634.7,1.6347,0
247,32,1634.7,1.6347,0
248,33,1585.2,1.5852,0
249,33,1585.2,1.5852,0
250,33,1585.2,1.5852,0
251,33,1585.2,1.5852,0
252,34,1538.5,1.5385,0
253,34,1538.5,1.5385,0
254,35,1494.6,1.4946,0
255,35,1494.6,1.4946,0
256,36,1453.1,1.4531,0
257,36,1453.1,1.4531,0
258,37,1413.8,1.4138,0
259,37,1413.8,1.4138,0
260,38,1376.6,1.3766,0
261,34,1538.5,1.5385,0
262,39,1341.3,1.3413,0
263,34,1538.5,1.5385,0
264,40,1307.8,1.3078,0
265,41,1275.9,1.2759,0
266,36,1453.1,1.4531,0
267,36,1453.1,1.4531,0
268,37,1413.8,1.4138,0
